"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PTPRZ1",0,2.65672446686728,0.922,0.122,0,"0","PTPRZ1"
"TNC",0,5.02859020609945,0.841,0.067,0,"0","TNC"
"SPARCL1",0,3.26351560924452,0.865,0.108,0,"0","SPARCL1"
"MEG3",0,1.84489052943803,0.893,0.136,0,"0","MEG3"
"GPM6A",0,2.1917152828683,0.878,0.122,0,"0","GPM6A"
"NRCAM",0,2.91387927419895,0.863,0.108,0,"0","NRCAM"
"CHL1",0,2.68221653391528,0.85,0.096,0,"0","CHL1"
"GAP43",0,2.44338494496141,0.899,0.15,0,"0","GAP43"
"EGFR",0,3.17135990495113,0.826,0.087,0,"0","EGFR"
"C1R",0,3.44218319143201,0.838,0.1,0,"0","C1R"
"ID4",0,3.59444256252246,0.863,0.133,0,"0","ID4"
"IGFBP7",0,1.97591483373472,0.864,0.139,0,"0","IGFBP7"
"CCN1",0,2.9711037393171,0.853,0.13,0,"0","CCN1"
"AQP4",0,4.44164053049638,0.781,0.06,0,"0","AQP4"
"F3",0,3.59509830629781,0.827,0.107,0,"0","F3"
"TCIM",0,4.03048978196975,0.794,0.077,0,"0","TCIM"
"CNN3",0,3.04128535319228,0.967,0.253,0,"0","CNN3"
"IGFBP2",0,1.79032469603929,0.905,0.197,0,"0","IGFBP2"
"C1S",0,3.27740973416673,0.764,0.059,0,"0","C1S"
"RCN1",0,2.66518763251469,0.855,0.15,0,"0","RCN1"
"COL6A1",0,2.45361774152034,0.791,0.088,0,"0","COL6A1"
"PDLIM4",0,2.76069269366439,0.785,0.087,0,"0","PDLIM4"
"FABP7",0,2.03047557388175,0.88,0.182,0,"0","FABP7"
"TIMP3",0,2.78611033049363,0.762,0.067,0,"0","TIMP3"
"NOVA1",0,2.05401957644108,0.958,0.265,0,"0","NOVA1"
"ACTN1",0,2.65807346676604,0.886,0.195,0,"0","ACTN1"
"MGST1",0,3.58839303516349,0.775,0.085,0,"0","MGST1"
"SOX9",0,2.60468697506053,0.801,0.111,0,"0","SOX9"
"AEBP1",0,3.43595731831769,0.764,0.076,0,"0","AEBP1"
"CALD1",0,1.99327497504834,0.955,0.27,0,"0","CALD1"
"HEY1",0,3.14637640773357,0.777,0.094,0,"0","HEY1"
"DPYSL3",0,1.85937682253335,0.825,0.142,0,"0","DPYSL3"
"OLFM2",0,3.17243588838102,0.766,0.084,0,"0","OLFM2"
"FHL1",0,2.76673971222425,0.788,0.107,0,"0","FHL1"
"CHI3L2",0,4.38525371101357,0.776,0.1,0,"0","CHI3L2"
"PLOD2",0,2.79387029437351,0.801,0.126,0,"0","PLOD2"
"ITM2C",0,3.48684072489624,0.917,0.243,0,"0","ITM2C"
"GJA1",0,3.97015123726516,0.728,0.058,0,"0","GJA1"
"DCLK1",0,3.35111124952898,0.747,0.078,0,"0","DCLK1"
"TRIM47",0,3.1733625589232,0.805,0.14,0,"0","TRIM47"
"PRRX1",0,2.82718415669273,0.752,0.088,0,"0","PRRX1"
"CHPT1",0,2.31408339404639,0.829,0.167,0,"0","CHPT1"
"GPC1",0,2.61615774386419,0.816,0.158,0,"0","GPC1"
"DTNA",0,2.55297539079407,0.826,0.169,0,"0","DTNA"
"TMEM158",0,2.75097761627211,0.844,0.188,0,"0","TMEM158"
"EFEMP2",0,2.26697653360242,0.763,0.109,0,"0","EFEMP2"
"FERMT2",0,2.31327983365627,0.847,0.193,0,"0","FERMT2"
"CPE",0,3.12002585723566,0.761,0.108,0,"0","CPE"
"BCAN",0,2.92517029646525,0.746,0.096,0,"0","BCAN"
"CD320",0,1.91160512230131,0.804,0.154,0,"0","CD320"
"INAFM1",0,2.32031794802129,0.865,0.217,0,"0","INAFM1"
"BGN",0,1.46735998345128,0.723,0.075,0,"0","BGN"
"EFEMP1",0,4.3419778248786,0.694,0.046,0,"0","EFEMP1"
"WLS",0,3.07324957356497,0.747,0.101,0,"0","WLS"
"NR2F1",0,2.31999316212862,0.744,0.101,0,"0","NR2F1"
"SOX2",0,1.74099805811779,0.882,0.241,0,"0","SOX2"
"FAM3C",0,2.22719441228811,0.886,0.245,0,"0","FAM3C"
"PCSK1N",0,2.16041442207444,0.939,0.304,0,"0","PCSK1N"
"S100A16",0,2.07689728707766,0.866,0.232,0,"0","S100A16"
"NPDC1",0,2.01051562296916,0.832,0.203,0,"0","NPDC1"
"DOK5",0,3.25247541930935,0.684,0.055,0,"0","DOK5"
"VCAN",0,1.05406189618572,0.839,0.211,0,"0","VCAN"
"LTBP3",0,2.19203357927093,0.818,0.191,0,"0","LTBP3"
"MAOB",0,3.27319506034603,0.724,0.098,0,"0","MAOB"
"NES",0,2.09393796621644,0.758,0.133,0,"0","NES"
"ATP1B2",0,2.97018155480866,0.707,0.082,0,"0","ATP1B2"
"CHPF",0,2.31150412715935,0.768,0.144,0,"0","CHPF"
"PDPN",0,2.14746348814838,0.827,0.203,0,"0","PDPN"
"CAV1",0,3.11508513761156,0.763,0.141,0,"0","CAV1"
"GLIS3",0,3.39325568627324,0.688,0.066,0,"0","GLIS3"
"RAMP1",0,2.76228408641392,0.811,0.19,0,"0","RAMP1"
"SCRG1",0,2.23286440264759,0.872,0.251,0,"0","SCRG1"
"BAALC",0,1.92033060276061,0.872,0.252,0,"0","BAALC"
"WWTR1",0,1.38884016746855,0.769,0.151,0,"0","WWTR1"
"EMILIN1",0,3.53489642969673,0.681,0.064,0,"0","EMILIN1"
"PFN2",0,1.75980602577067,0.846,0.231,0,"0","PFN2"
"PALLD",0,1.78304548321207,0.743,0.129,0,"0","PALLD"
"TRIP6",0,2.34006333724427,0.756,0.143,0,"0","TRIP6"
"OCIAD2",0,2.22323609229557,0.805,0.195,0,"0","OCIAD2"
"CHI3L1",0,4.13543427078138,0.929,0.32,0,"0","CHI3L1"
"CDH11",0,3.49435384528127,0.673,0.064,0,"0","CDH11"
"GOLM1",0,1.75625992322647,0.743,0.136,0,"0","GOLM1"
"SLC16A1",0,2.23238570640433,0.792,0.186,0,"0","SLC16A1"
"TRIM9",0,2.11040244185395,0.779,0.173,0,"0","TRIM9"
"IGFBP5",0,2.00844835243772,0.744,0.138,0,"0","IGFBP5"
"CD151",0,1.96315036919347,0.901,0.296,0,"0","CD151"
"C1QL1",0,2.92921695303874,0.685,0.081,0,"0","C1QL1"
"AGT",0,2.90075257945725,0.748,0.144,0,"0","AGT"
"ID3",0,3.40375758617663,0.842,0.24,0,"0","ID3"
"GFAP",0,2.59705448103381,0.91,0.309,0,"0","GFAP"
"TPST1",0,2.38083215501798,0.806,0.206,0,"0","TPST1"
"ABCC3",0,2.4934077816648,0.711,0.111,0,"0","ABCC3"
"PGM2L1",0,1.91229152848853,0.772,0.178,0,"0","PGM2L1"
"SCG2",0,3.0043379636051,0.688,0.095,0,"0","SCG2"
"CFI",0,2.78023945924634,0.676,0.084,0,"0","CFI"
"FAM20C",0,1.98830385773567,0.86,0.27,0,"0","FAM20C"
"CDO1",0,3.16215173059136,0.655,0.066,0,"0","CDO1"
"NAT14",0,2.26290953016451,0.719,0.13,0,"0","NAT14"
"RNF19A",0,2.46281689410381,0.784,0.198,0,"0","RNF19A"
"FLNA",0,1.73202514776887,0.905,0.32,0,"0","FLNA"
"NNMT",0,3.38537125367511,0.66,0.076,0,"0","NNMT"
"CRIP2",0,1.70946563456059,0.728,0.144,0,"0","CRIP2"
"MLC1",0,3.54620048179297,0.62,0.038,0,"0","MLC1"
"FKBP10",0,2.18237850011826,0.653,0.073,0,"0","FKBP10"
"MXRA7",0,1.60738359079842,0.74,0.16,0,"0","MXRA7"
"ZNF667-AS1",0,1.73473290259775,0.734,0.154,0,"0","ZNF667-AS1"
"PMP2",0,2.84988573683169,0.918,0.34,0,"0","PMP2"
"THY1",0,2.24323902944223,0.68,0.102,0,"0","THY1"
"FADS3",0,2.30588707616718,0.715,0.14,0,"0","FADS3"
"CAV2",0,2.13410997734295,0.747,0.173,0,"0","CAV2"
"PTN",0,1.81808655906815,0.927,0.354,0,"0","PTN"
"FNDC4",0,2.73309603267707,0.641,0.071,0,"0","FNDC4"
"RFX4",0,3.70158777445028,0.61,0.04,0,"0","RFX4"
"C1orf61",0,2.07754961263895,0.838,0.269,0,"0","C1orf61"
"BBOX1",0,3.70612174330913,0.601,0.032,0,"0","BBOX1"
"HOPX",0,2.21067072565043,0.676,0.109,0,"0","HOPX"
"SERPINA3",0,3.56733472600621,0.823,0.256,0,"0","SERPINA3"
"JAM2",0,2.56165442944979,0.637,0.071,0,"0","JAM2"
"CA3",0,4.45955196316021,0.611,0.045,0,"0","CA3"
"RARRES2",0,2.95435036994905,0.631,0.066,0,"0","RARRES2"
"CSRP2",0,2.30167817243388,0.67,0.106,0,"0","CSRP2"
"LHFPL6",0,1.99147618701268,0.683,0.119,0,"0","LHFPL6"
"MT3",0,1.92027228306893,0.912,0.348,0,"0","MT3"
"MIR99AHG",0,1.77637754834223,0.764,0.2,0,"0","MIR99AHG"
"DKK3",0,2.6673117424473,0.654,0.091,0,"0","DKK3"
"DNER",0,1.93167481489908,0.831,0.268,0,"0","DNER"
"SERPING1",0,2.88568706661085,0.721,0.158,0,"0","SERPING1"
"METRN",0,1.68104188015775,0.94,0.377,0,"0","METRN"
"SCARA3",0,2.36990877762846,0.691,0.129,0,"0","SCARA3"
"NRN1",0,2.55193546129856,0.644,0.083,0,"0","NRN1"
"TSTD1",0,1.63356579099569,0.726,0.165,0,"0","TSTD1"
"EMID1",0,2.73968486462169,0.67,0.112,0,"0","EMID1"
"FN1",0,1.06188914105848,0.688,0.13,0,"0","FN1"
"FSTL1",0,1.86034344785917,0.628,0.072,0,"0","FSTL1"
"CTXN1",0,1.85971845850131,0.64,0.084,0,"0","CTXN1"
"C21orf62",0,3.95584182882716,0.596,0.04,0,"0","C21orf62"
"FBXO17",0,2.79996205555752,0.609,0.054,0,"0","FBXO17"
"GNG12",0,2.16794864235846,0.656,0.102,0,"0","GNG12"
"TGFB2",0,3.99884745038469,0.611,0.057,0,"0","TGFB2"
"TAGLN",0,3.01448998012239,0.704,0.15,0,"0","TAGLN"
"PDLIM3",0,2.74661681666336,0.637,0.084,0,"0","PDLIM3"
"CDC42EP4",0,2.29648425171012,0.666,0.114,0,"0","CDC42EP4"
"HP",0,4.81200727616362,0.587,0.035,0,"0","HP"
"CRISPLD1",0,3.67539906300822,0.593,0.042,0,"0","CRISPLD1"
"CTNND2",0,2.23266788674025,0.649,0.099,0,"0","CTNND2"
"NTRK2",0,3.04677699183852,0.635,0.09,0,"0","NTRK2"
"SMAD1",0,2.79713157245879,0.618,0.075,0,"0","SMAD1"
"TMEM132A",0,2.43383445358319,0.626,0.084,0,"0","TMEM132A"
"HILPDA",0,2.98204993132336,0.655,0.115,0,"0","HILPDA"
"ID1",0,2.34999122825109,0.753,0.213,0,"0","ID1"
"SMARCD3",0,1.94951480891786,0.645,0.107,0,"0","SMARCD3"
"FZD3",0,2.23367980084279,0.621,0.084,0,"0","FZD3"
"VCAM1",0,4.98074347325215,0.563,0.026,0,"0","VCAM1"
"RHOC",0,1.79470960587753,0.922,0.386,0,"0","RHOC"
"REEP2",0,2.54144014509806,0.607,0.071,0,"0","REEP2"
"CAPS",0,2.67146547726282,0.624,0.089,0,"0","CAPS"
"LTF",0,4.91452439723653,0.612,0.078,0,"0","LTF"
"FIBIN",0,3.4385629306288,0.583,0.049,0,"0","FIBIN"
"STMP1",0,1.50663470866232,0.881,0.348,0,"0","STMP1"
"RDH10",0,3.38967211795389,0.598,0.065,0,"0","RDH10"
"EPDR1",0,3.26739842985477,0.589,0.057,0,"0","EPDR1"
"FLNC",0,3.51638120537597,0.584,0.052,0,"0","FLNC"
"TGFB1I1",0,2.68192903600439,0.589,0.057,0,"0","TGFB1I1"
"HSPB6",0,3.65144603718694,0.574,0.042,0,"0","HSPB6"
"CALU",0,1.52950718062347,0.922,0.393,0,"0","CALU"
"MAN1C1",0,2.80978327626019,0.637,0.109,0,"0","MAN1C1"
"TSPAN6",0,2.90199651109813,0.581,0.055,0,"0","TSPAN6"
"PTX3",0,3.6866825325116,0.611,0.088,0,"0","PTX3"
"MSX1",0,2.69065920122361,0.607,0.084,0,"0","MSX1"
"AHCYL1",0,1.97924509453072,0.836,0.314,0,"0","AHCYL1"
"ACKR3",0,2.55492403797825,0.602,0.08,0,"0","ACKR3"
"HAS2",0,4.24962348525232,0.549,0.028,0,"0","HAS2"
"OBSL1",0,2.45387304901867,0.593,0.073,0,"0","OBSL1"
"CADPS",0,4.00896374939295,0.538,0.018,0,"0","CADPS"
"SSPN",0,2.75700163205742,0.587,0.067,0,"0","SSPN"
"CA12",0,3.88427891266461,0.552,0.032,0,"0","CA12"
"VASN",0,3.26621401252171,0.578,0.058,0,"0","VASN"
"BCHE",0,2.18692072105413,0.603,0.086,0,"0","BCHE"
"PON2",0,2.04817843640746,0.891,0.375,0,"0","PON2"
"RCAN1",0,3.463978967333,0.818,0.309,0,"0","RCAN1"
"PRSS23",0,3.55747559319651,0.547,0.041,0,"0","PRSS23"
"MT1M",0,2.12519558469312,0.562,0.059,0,"0","MT1M"
"CXCL14",0,3.05018039891768,0.552,0.051,0,"0","CXCL14"
"FADS2",0,2.59988661432743,0.553,0.055,0,"0","FADS2"
"TWIST1",0,2.45929343990584,0.55,0.058,0,"0","TWIST1"
"NSG1",0,2.99698236308457,0.531,0.052,0,"0","NSG1"
"HSPB8",0,3.97827478221758,0.504,0.033,0,"0","HSPB8"
"RGMA",0,3.29192705182823,0.505,0.038,0,"0","RGMA"
"LRRC2",0,5.39642264557327,0.475,0.011,0,"0","LRRC2"
"RAMP3",0,3.408694027211,0.495,0.032,0,"0","RAMP3"
"HRH1",0,3.19604995541345,0.501,0.039,0,"0","HRH1"
"PIFO",0,3.57622928593157,0.486,0.025,0,"0","PIFO"
"SRI",0,1.65314191539107,0.978,0.52,0,"0","SRI"
"MYBPC1",0,4.19698956356523,0.478,0.02,0,"0","MYBPC1"
"PLCD3",0,3.08208400061606,0.487,0.029,0,"0","PLCD3"
"SCN1A",0,3.94663613596086,0.482,0.027,0,"0","SCN1A"
"APLN",0,3.23902469226195,0.491,0.037,0,"0","APLN"
"CADM3",0,3.78657171333401,0.447,0.017,0,"0","CADM3"
"CD99",0,2.16740743717703,0.96,0.535,0,"0","CD99"
"TMEM132E",0,5.38262843802777,0.431,0.007,0,"0","TMEM132E"
"PRDX2",0,1.33461630870919,0.95,0.53,0,"0","PRDX2"
"CLU",0,3.21081910143801,0.984,0.566,0,"0","CLU"
"S100A10",0,1.81023269448696,0.975,0.558,0,"0","S100A10"
"CAPZA2",0,1.23473006527989,0.95,0.533,0,"0","CAPZA2"
"SEC61G",0,2.18318863747982,0.999,0.818,0,"0","SEC61G"
"ELMOD1",6.96632560636158e-321,3.44548159115977,0.474,0.032,1.52917813385243e-316,"0","ELMOD1"
"NFIB",1.94464238203115e-320,1.3847517776556,0.766,0.17,4.26868449279657e-316,"0","NFIB"
"NDUFA4",2.16203126620129e-320,1.00157787334024,0.989,0.773,4.74587483243846e-316,"0","NDUFA4"
"TUBB3",8.04338871429549e-320,1.24359834372961,0.889,0.303,1.765604256675e-315,"0","TUBB3"
"FAM181A",2.06001066286024e-317,3.46826653610278,0.47,0.031,4.52192940604452e-313,"0","FAM181A"
"TMEM106B",1.90376042610037e-316,1.54656241675548,0.855,0.288,4.17894451133291e-312,"0","TMEM106B"
"FGF2",2.77835049171208e-316,2.9310886040877,0.509,0.047,6.09875716435719e-312,"0","FGF2"
"CCND2",4.43577047848791e-316,1.34340472993659,0.753,0.176,9.73695977732881e-312,"0","CCND2"
"PAM",5.97759876794959e-316,2.05151804102031,0.628,0.106,1.31214270555261e-311,"0","PAM"
"ADH5",9.64995768616501e-316,1.495555121822,0.809,0.242,2.11826221169008e-311,"0","ADH5"
"FXYD6",2.33603973411358e-315,1.98375624645379,0.682,0.141,5.12784082035273e-311,"0","FXYD6"
"SPOCK2",6.93318094571487e-315,1.48642847451246,0.542,0.058,1.52190254939387e-310,"0","SPOCK2"
"FKBP9",7.7372841873566e-315,2.15810491429581,0.638,0.113,1.69841125196665e-310,"0","FKBP9"
"DBI",1.55081520522115e-314,1.19218398401964,0.976,0.714,3.40419445698095e-310,"0","DBI"
"APLNR",8.52226007968903e-314,4.12433416322934,0.43,0.018,1.87072131009254e-309,"0","APLNR"
"PHPT1",2.01546943857697e-313,1.07469026485218,0.958,0.577,4.42415696462032e-309,"0","PHPT1"
"FOXG1",9.16316725231345e-313,1.48728811446521,0.629,0.092,2.01140684355533e-308,"0","FOXG1"
"QTRT1",2.57349301086653e-312,1.67684558415038,0.759,0.188,5.64907450815311e-308,"0","QTRT1"
"MEG8",7.54022371275091e-312,2.74073915252382,0.545,0.068,1.65515450718595e-307,"0","MEG8"
"LAMB2",2.6677168337484e-309,2.26422747385102,0.561,0.073,5.85590522176111e-305,"0","LAMB2"
"MRC2",6.60816626750609e-308,2.14375273576661,0.602,0.097,1.45055857738026e-303,"0","MRC2"
"CLIC4",8.27871506662421e-308,1.42997838799196,0.898,0.412,1.81726074427468e-303,"0","CLIC4"
"RND3",6.07282026323358e-307,1.83991347724203,0.77,0.213,1.3330447759824e-302,"0","RND3"
"PPP1CB",6.21911112066459e-307,1.30679030280891,0.95,0.597,1.36515708209709e-302,"0","PPP1CB"
"NMB",3.98832513540644e-306,2.13863716139241,0.724,0.205,8.75477250473068e-302,"0","NMB"
"PSRC1",7.88035251879823e-306,1.7228268885314,0.767,0.209,1.7298161814014e-301,"0","PSRC1"
"DCLK2",1.23939523556812e-305,1.98554206027744,0.59,0.089,2.72059648159559e-301,"0","DCLK2"
"S100A6",2.54566643861434e-305,1.40115572615377,0.966,0.666,5.58799239940235e-301,"0","S100A6"
"NUDT4",2.58568291376634e-304,1.94971735921339,0.744,0.206,5.67583256400849e-300,"0","NUDT4"
"CRMP1",7.98107623072051e-303,1.36120684533361,0.606,0.092,1.75192604340546e-298,"0","CRMP1"
"POLD2",1.62182624286996e-302,1.49976400629489,0.801,0.241,3.56007078572386e-298,"0","POLD2"
"CPNE3",2.85214682425846e-302,1.59394487826753,0.783,0.234,6.26074749392975e-298,"0","CPNE3"
"EHD2",6.48714953104002e-302,2.42714473929621,0.489,0.045,1.42399419355859e-297,"0","EHD2"
"CRB2",1.86657588597765e-301,2.47023926552043,0.545,0.068,4.09732072730954e-297,"0","CRB2"
"PLSCR4",5.66155736882599e-300,3.50014155659761,0.426,0.021,1.24276845803099e-295,"0","PLSCR4"
"PPIC",7.61211147183218e-300,2.76518602879288,0.466,0.036,1.67093458918188e-295,"0","PPIC"
"GFPT2",5.53544589006393e-299,2.46616759321896,0.504,0.053,1.21508572732793e-294,"0","GFPT2"
"EDNRB",4.91264434528496e-298,2.83996181392331,0.547,0.076,1.0783745602335e-293,"0","EDNRB"
"BICD1",2.73753439251975e-297,1.89442403292336,0.642,0.124,6.00916174502011e-293,"0","BICD1"
"GRIA2",2.74059376859403e-296,1.81452271634947,0.64,0.12,6.01587738144076e-292,"0","GRIA2"
"MDK",5.65536741135991e-296,1.22380300197602,0.813,0.237,1.24140970046761e-291,"0","MDK"
"FYN",6.12773104382355e-296,1.41146503904607,0.757,0.196,1.34509824142971e-291,"0","FYN"
"LMO4",7.18579429098904e-296,1.49659201033666,0.863,0.311,1.577353704815e-291,"0","LMO4"
"NIPSNAP2",3.53273624696845e-295,1.49493795956386,0.784,0.233,7.75470933572045e-291,"0","NIPSNAP2"
"DAAM1",5.40392686184501e-295,1.83081898285419,0.643,0.128,1.1862159854436e-290,"0","DAAM1"
"DYNLT1",2.97171554893456e-294,1.18267627347465,0.924,0.461,6.52321280146625e-290,"0","DYNLT1"
"SOX4",5.61952873975638e-294,0.808029420834301,0.803,0.211,1.23354275366392e-289,"0","SOX4"
"TSPAN3",2.32362509804769e-293,1.63276972000605,0.847,0.347,5.10058945272448e-289,"0","TSPAN3"
"SFXN5",3.81963898933456e-293,2.04497408764859,0.584,0.096,8.38448954548829e-289,"0","SFXN5"
"SERPINE2",5.19090204748562e-292,2.39607945271301,0.672,0.154,1.13945490844357e-287,"0","SERPINE2"
"MXRA8",6.53423695402641e-292,2.73711686083107,0.452,0.033,1.43433035377834e-287,"0","MXRA8"
"IFT22",1.24505013282918e-291,1.91084043455565,0.627,0.117,2.73300954657333e-287,"0","IFT22"
"AQP1",1.50888092083963e-291,3.96111820468045,0.424,0.024,3.31214450933506e-287,"0","AQP1"
"TMEM54",1.60075380589631e-290,2.14970737769057,0.564,0.088,3.513814679323e-286,"0","TMEM54"
"DIRAS3",2.35968975646833e-288,2.61442540091139,0.494,0.054,5.17975498442363e-284,"0","DIRAS3"
"SPEG",2.67240194922733e-288,2.52793690019056,0.447,0.033,5.8661895187489e-284,"0","SPEG"
"GSTT2B",4.55983247703096e-288,1.95463128339192,0.74,0.232,1.00092882703307e-283,"0","GSTT2B"
"TCEA2",6.35528765760878e-288,1.34361234453184,0.776,0.218,1.3950491937217e-283,"0","TCEA2"
"VGLL4",7.71684644360436e-288,1.59522246191887,0.809,0.253,1.69392496283559e-283,"0","VGLL4"
"PTMS",2.90826240186969e-287,1.01989132940694,0.948,0.451,6.38392679834415e-283,"0","PTMS"
"SLC39A14",6.39456292202753e-287,3.32720935410992,0.468,0.045,1.40367050701426e-282,"0","SLC39A14"
"NFIA",9.94618757745757e-287,1.80775864310343,0.822,0.306,2.18328763512771e-282,"0","NFIA"
"MAGED1",1.49065099323627e-286,1.8674029040999,0.667,0.151,3.27212799525293e-282,"0","MAGED1"
"NTNG1",9.67202924737147e-286,3.58865749027349,0.405,0.019,2.12310714009051e-281,"0","NTNG1"
"TESC",1.1723178550943e-285,3.02048651348893,0.463,0.044,2.5733549237175e-281,"0","TESC"
"SOX6",4.90595313407169e-285,2.36236498500408,0.499,0.055,1.07690577246008e-280,"0","SOX6"
"DDR2",9.40772575731564e-285,1.66905594077794,0.513,0.065,2.06508988098836e-280,"0","DDR2"
"RND2",1.67229157882361e-284,2.1080030664001,0.563,0.091,3.67084724467571e-280,"0","RND2"
"CDH2",2.50022075427124e-284,1.51599849865103,0.691,0.145,5.4882345777008e-280,"0","CDH2"
"ACHE",5.40723638949028e-284,3.0195292507843,0.48,0.051,1.18694245985701e-279,"0","ACHE"
"MYL6B",9.18659565580899e-284,1.08427997652636,0.827,0.266,2.01654961240663e-279,"0","MYL6B"
"LDHB",3.72200379718109e-283,1.06835348668972,0.958,0.565,8.1701705351922e-279,"0","LDHB"
"C2orf72",3.71363440213603e-282,2.97104026409952,0.447,0.038,8.15179887612881e-278,"0","C2orf72"
"GADD45A",1.25001128738414e-281,1.78982426755964,0.852,0.352,2.74389977693694e-277,"0","GADD45A"
"LINC00461",3.70021035071854e-281,1.2959941775772,0.612,0.105,8.12233174086227e-277,"0","LINC00461"
"NDUFA7",1.93807933976757e-280,1.23042857260402,0.851,0.324,4.25427795872379e-276,"0","NDUFA7"
"CDK2AP1",3.66098975734793e-280,1.14164691337817,0.942,0.508,8.03623861635444e-276,"0","CDK2AP1"
"MORN2",4.01429639149038e-280,1.66004415014566,0.644,0.138,8.81178200896053e-276,"0","MORN2"
"AL390755.1",1.02042633546103e-278,2.92978085581667,0.405,0.022,2.23993784897051e-274,"0","AL390755.1"
"TMEM59L",7.40588889853438e-278,2.46309941377084,0.529,0.075,1.62566667211728e-273,"0","TMEM59L"
"DOCK7",1.08495975065484e-277,1.93115617123635,0.641,0.138,2.38159514866244e-273,"0","DOCK7"
"COPRS",2.35439357348972e-277,1.39340704205051,0.828,0.319,5.16812933316728e-273,"0","COPRS"
"GADD45GIP1",4.29124655381498e-277,1.02677847410702,0.936,0.522,9.41971531027927e-273,"0","GADD45GIP1"
"CNR1",4.62176885602397e-277,3.13785649224741,0.456,0.044,1.01452448158582e-272,"0","CNR1"
"ANO6",1.41683761263931e-276,2.27832330409457,0.54,0.082,3.11010024350456e-272,"0","ANO6"
"TMEM205",2.01536806943348e-276,1.3388413389892,0.855,0.364,4.42393444921343e-272,"0","TMEM205"
"COPZ2",3.94284705141064e-276,2.18270318701414,0.577,0.109,8.65494356255149e-272,"0","COPZ2"
"PLP2",1.01623861832285e-275,1.3192601590082,0.782,0.244,2.23074539108048e-271,"0","PLP2"
"CHCHD2",2.60561882229664e-275,0.736494682468714,0.992,0.831,5.71959387682335e-271,"0","CHCHD2"
"IMMP2L",1.39628959944199e-274,2.39730560338088,0.505,0.066,3.06499529973511e-270,"0","IMMP2L"
"LINC02762",4.72369228947812e-274,2.53063373526252,0.489,0.059,1.03689769446334e-269,"0","LINC02762"
"PTGFRN",7.39747633860679e-274,2.94168413509679,0.466,0.05,1.62382003108758e-269,"0","PTGFRN"
"NR2F6",7.80490428352856e-274,1.82283609673249,0.583,0.105,1.71325453927735e-269,"0","NR2F6"
"PNMA2",1.15838543172214e-273,2.33589919234124,0.456,0.042,2.54277186117328e-269,"0","PNMA2"
"RASD1",2.45114685564896e-273,2.11565082685547,0.62,0.137,5.38051246283503e-269,"0","RASD1"
"FIGN",2.89430747046379e-273,2.35319119138744,0.489,0.059,6.35329432841507e-269,"0","FIGN"
"ALDH4A1",4.06004417266368e-273,2.91903712140987,0.437,0.038,8.91220296341405e-269,"0","ALDH4A1"
"SRPX",4.49108835018735e-273,2.49680471249444,0.482,0.057,9.85838803749625e-269,"0","SRPX"
"VIM",1.18242191565996e-272,1.07149818011549,0.984,0.749,2.59553434706518e-268,"0","VIM"
"ITGB8",1.38246273298788e-272,1.63101367189961,0.746,0.205,3.03464394518171e-268,"0","ITGB8"
"FOXD1",2.77418949720387e-272,2.43147171214715,0.475,0.054,6.08962336531223e-268,"0","FOXD1"
"ASS1",4.05809301234275e-272,4.26026671192478,0.37,0.011,8.90791997139357e-268,"0","ASS1"
"NDFIP1",4.43567021153314e-272,1.1275307459114,0.941,0.57,9.7367396813364e-268,"0","NDFIP1"
"SYNE2",2.45275394568322e-271,1.1016437928293,0.617,0.112,5.38404018616923e-267,"0","SYNE2"
"TNFRSF1A",5.0489630840816e-271,1.31680595329461,0.837,0.302,1.10829788658675e-266,"0","TNFRSF1A"
"FBLN5",7.85059621264989e-271,4.13089195551151,0.403,0.025,1.72328437463878e-266,"0","FBLN5"
"PKM",1.2667832631819e-270,1.1081754007083,0.971,0.695,2.78071594101059e-266,"0","PKM"
"ALDH9A1",2.86782736345857e-270,1.75200999546059,0.697,0.198,6.29516784552791e-266,"0","ALDH9A1"
"RNF180",9.44780096610184e-270,2.23808961984615,0.515,0.072,2.07388679006901e-265,"0","RNF180"
"SHC2",1.4993910174988e-269,1.59098388065525,0.659,0.145,3.29131322251162e-265,"0","SHC2"
"PODXL",8.09099058568551e-269,2.5742363447777,0.474,0.057,1.77605334346383e-264,"0","PODXL"
"SLC25A18",9.47031384548904e-269,3.86738997093113,0.39,0.02,2.0788285922233e-264,"0","SLC25A18"
"SH3BGR",2.1263891297694e-268,2.07698652922704,0.501,0.069,4.6676367787568e-264,"0","SH3BGR"
"SPOCD1",6.03443032341665e-268,1.77381464345697,0.574,0.105,1.32461780029319e-263,"0","SPOCD1"
"PPP1R1B",7.13338644153348e-268,3.12631354712565,0.39,0.021,1.56584965778102e-263,"0","PPP1R1B"
"ZNF428",8.11335285482458e-268,0.908960412506095,0.947,0.444,1.78096208516254e-263,"0","ZNF428"
"SSBP1",1.20376028492483e-267,0.97952934469152,0.943,0.514,2.6423742014385e-263,"0","SSBP1"
"ZSCAN18",9.70693227899939e-267,1.54451139525859,0.723,0.188,2.13076870456316e-262,"0","ZSCAN18"
"WASL",1.53867185662701e-266,1.54879587011822,0.748,0.213,3.37753859248195e-262,"0","WASL"
"MTPN",1.96165434876208e-265,1.29610583747703,0.822,0.292,4.30602746096763e-261,"0","MTPN"
