"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RIOX2",4.56732806734463e-66,0.911067855073296,0.247,0.07,1.00257418406282e-61,"0","RIOX2"
"SPTLC1",4.75283372740875e-66,0.345235380572292,0.593,0.275,1.04329453150349e-61,"0","SPTLC1"
"ADGRL1",4.75663397138604e-66,1.06377146410284,0.244,0.067,1.04412872305895e-61,"0","ADGRL1"
"PFKP",5.05648596106316e-66,0.492883430841313,0.305,0.103,1.10994923331297e-61,"0","PFKP"
"TMOD1",5.09177313151196e-66,0.768727038311887,0.289,0.093,1.11769512009819e-61,"0","TMOD1"
"MRPS9",5.39038255753758e-66,0.820744602383777,0.306,0.102,1.18324287520507e-61,"0","MRPS9"
"AKT1S1",5.42418143486438e-66,0.309127692561391,0.404,0.157,1.19066206676708e-61,"0","AKT1S1"
"PREX2",5.43533738975441e-66,1.42033842891869,0.204,0.048,1.19311091042499e-61,"0","PREX2"
"CPTP",5.92536490512298e-66,0.715649004593887,0.293,0.093,1.30067685032355e-61,"0","CPTP"
"TMEM177",6.07321774540754e-66,1.73155412288982,0.141,0.019,1.33313202729441e-61,"0","TMEM177"
"PAK1IP1",6.17499415766301e-66,0.466101499894164,0.376,0.143,1.35547296754861e-61,"0","PAK1IP1"
